"filename", "language", "Markdown", "Python", "HTML", "XML", "Desktop", "TOML", "pip requirements", "JSON", "comment", "blank", "total"
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/details.md", "Markdown", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"/home/dana/Documents/Projects/Python/PyPlate/CHANGELOG.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/README.md", "Markdown", 285, 0, 0, 0, 0, 0, 0, 0, 0, 84, 369
"/home/dana/Documents/Projects/Python/PyPlate/conf/pybaker_conf.py", "Python", 0, 154, 0, 0, 0, 0, 0, 0, 2, 5, 161
"/home/dana/Documents/Projects/Python/PyPlate/conf/pymaker_conf.py", "Python", 0, 326, 0, 0, 0, 0, 0, 0, 200, 80, 606
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 8, 3, 14
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnapp.py", "Python", 0, 152, 0, 0, 0, 0, 0, 0, 116, 80, 348
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnwindow.py", "Python", 0, 72, 0, 0, 0, 0, 0, 0, 65, 45, 182
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnapp_with_state.py", "Python", 0, 162, 0, 0, 0, 0, 0, 0, 178, 94, 434
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnappfunctions.py", "Python", 0, 61, 0, 0, 0, 0, 0, 0, 45, 34, 140
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnwindow_junk.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 347, 100, 447
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnwindow_w_state.py", "Python", 0, 289, 0, 0, 0, 0, 0, 0, 185, 127, 601
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/state.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 21, 2, 31
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 8, 3, 14
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cncli.py", "Python", 0, 110, 0, 0, 0, 0, 0, 0, 87, 46, 243
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnformatter.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 18, 10, 44
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnfunctions.py", "Python", 0, 267, 0, 0, 0, 0, 0, 0, 125, 125, 517
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnpot.py", "Python", 0, 325, 0, 0, 0, 0, 0, 0, 218, 123, 666
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cntree.py", "Python", 0, 291, 0, 0, 0, 0, 0, 0, 192, 126, 609
"/home/dana/Documents/Projects/Python/PyPlate/misc/__PP_NAME_SMALL__-gtk4.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 53, 48, 172
"/home/dana/Documents/Projects/Python/PyPlate/misc/checklist.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 12, 8, 47
"/home/dana/Documents/Projects/Python/PyPlate/misc/install.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 31, 17, 75
"/home/dana/Documents/Projects/Python/PyPlate/misc/uninstall.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 33, 19, 74
"/home/dana/Documents/Projects/Python/PyPlate/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 38, 0, 0, 12, 5, 55
"/home/dana/Documents/Projects/Python/PyPlate/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/dana/Documents/Projects/Python/PyPlate/src/pybaker.py", "Python", 0, 660, 0, 0, 0, 0, 0, 0, 595, 319, 1574
"/home/dana/Documents/Projects/Python/PyPlate/src/pymaker.py", "Python", 0, 562, 0, 0, 0, 0, 0, 0, 374, 275, 1211
