"filename", "language", "pip requirements", "Markdown", "JSON", "Python", "HTML", "Desktop", "XML", "TOML", "comment", "blank", "total"
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/details.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/details.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/diff-details.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/diff.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/results.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/details.md", "Markdown", 0, 597, 0, 0, 0, 0, 0, 0, 0, 6, 603
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/diff-details.md", "Markdown", 0, 558, 0, 0, 0, 0, 0, 0, 0, 6, 564
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/diff.md", "Markdown", 0, 136, 0, 0, 0, 0, 0, 0, 0, 7, 143
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/results.md", "Markdown", 0, 155, 0, 0, 0, 0, 0, 0, 0, 7, 162
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-01-39/details.md", "Markdown", 0, 1780, 0, 0, 0, 0, 0, 0, 0, 6, 1786
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-01-39/diff-details.md", "Markdown", 0, 1325, 0, 0, 0, 0, 0, 0, 0, 6, 1331
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-01-39/diff.md", "Markdown", 0, 429, 0, 0, 0, 0, 0, 0, 0, 7, 436
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-01-39/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-01-39/results.md", "Markdown", 0, 484, 0, 0, 0, 0, 0, 0, 0, 7, 491
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-02-03/details.md", "Markdown", 0, 1785, 0, 0, 0, 0, 0, 0, 0, 6, 1791
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-02-03/diff-details.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-02-03/diff.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-02-03/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-11-06_20-02-03/results.md", "Markdown", 0, 485, 0, 0, 0, 0, 0, 0, 0, 7, 492
"/home/dana/Documents/Projects/Python/PyPlate/README.md", "Markdown", 0, 106, 0, 0, 0, 0, 0, 0, 0, 25, 131
"/home/dana/Documents/Projects/Python/PyPlate/TODO/collect_strings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/dana/Documents/Projects/Python/PyPlate/TODO/guis_debug-gtk4.py", "Python", 0, 0, 0, 67, 0, 0, 0, 0, 57, 48, 172
"/home/dana/Documents/Projects/Python/PyPlate/TODO/unused.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/home/dana/Documents/Projects/Python/PyPlate/conf/pyplate_conf.py", "Python", 0, 0, 0, 699, 0, 0, 0, 0, 309, 146, 1154
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnapp.py", "Python", 0, 0, 0, 152, 0, 0, 0, 0, 116, 80, 348
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnwindow.py", "Python", 0, 0, 0, 72, 0, 0, 0, 0, 65, 45, 182
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnapp_with_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 340, 94, 434
