Date : 2024-11-06 20:01:39
Directory : /home/dana/Documents/Projects/Python/PyPlate
Total : 1316 files,  329224 codes, 23493 comments, 47021 blanks, all 399738 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ta                                                                                            |          1 |         60 |          0 |          0 |         60 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ta/LC_MESSAGES                                                                                |          1 |         60 |          0 |          0 |         60 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/te                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/te/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/tr                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/tr/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/uk_UA                                                                                         |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/uk_UA/LC_MESSAGES                                                                             |          1 |         65 |          0 |          0 |         65 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ur                                                                                            |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/ur/LC_MESSAGES                                                                                |          1 |         63 |          0 |          0 |         63 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/vi                                                                                            |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/vi/LC_MESSAGES                                                                                |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/yue                                                                                           |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/yue/LC_MESSAGES                                                                               |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_CN                                                                                         |          1 |         60 |          0 |          0 |         60 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_CN/LC_MESSAGES                                                                             |          1 |         60 |          0 |          0 |         60 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_HK                                                                                         |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_HK/LC_MESSAGES                                                                             |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_TW                                                                                         |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_TW.Big5                                                                                    |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_TW.Big5/LC_MESSAGES                                                                        |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/locale/zh_TW/LC_MESSAGES                                                                             |          1 |         62 |          0 |          0 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/pycode                                                                                               |          3 |        775 |         26 |        164 |        965 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/search                                                                                               |         50 |     16,038 |        266 |        838 |     17,142 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/search (Files)                                                                                       |         18 |      3,855 |         45 |        408 |      4,308 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/search/minified-js                                                                                   |         16 |         16 |          0 |          0 |         16 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/search/non-minified-js                                                                               |         16 |     12,167 |        221 |        430 |     12,818 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/templates                                                                                            |          3 |         57 |          4 |         17 |         78 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/templates/epub3                                                                                      |          1 |          6 |          0 |          1 |          7 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/templates/graphviz                                                                                   |          1 |          7 |          3 |          3 |         13 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/templates/texinfo                                                                                    |          1 |         44 |          1 |         13 |         58 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/testing                                                                                              |          5 |        629 |         33 |        165 |        827 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/texinputs                                                                                            |         22 |      3,897 |      2,668 |        284 |      6,849 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes                                                                                               |         50 |      2,767 |        225 |        321 |      3,313 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/agogo                                                                                         |          2 |        110 |          0 |          9 |        119 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/basic                                                                                         |         22 |      1,270 |        162 |        174 |      1,606 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/basic (Files)                                                                                 |         16 |        548 |          0 |         58 |        606 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/basic/changes                                                                                 |          3 |         59 |          0 |          3 |         62 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/basic/static                                                                                  |          3 |        663 |        162 |        113 |        938 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/bizstyle                                                                                      |          4 |        980 |         59 |         96 |      1,135 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/bizstyle (Files)                                                                              |          2 |         19 |          3 |          6 |         28 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/bizstyle/static                                                                               |          2 |        961 |         56 |         90 |      1,107 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/classic                                                                                       |          2 |         44 |          0 |          7 |         51 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/default                                                                                       |          2 |          3 |          0 |          2 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/default (Files)                                                                               |          1 |          2 |          0 |          1 |          3 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/default/static                                                                                |          1 |          1 |          0 |          1 |          2 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/epub                                                                                          |          3 |         37 |          0 |          6 |         43 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/haiku                                                                                         |          2 |         70 |          0 |          6 |         76 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/nature                                                                                        |          1 |          6 |          0 |          1 |          7 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/nonav                                                                                         |          2 |         22 |          0 |          5 |         27 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/pyramid                                                                                       |          3 |         31 |          3 |          6 |         40 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/pyramid (Files)                                                                               |          2 |         24 |          3 |          5 |         32 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/pyramid/static                                                                                |          1 |          7 |          0 |          1 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/scrolls                                                                                       |          5 |        180 |          1 |          6 |        187 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/scrolls (Files)                                                                               |          2 |         55 |          0 |          3 |         58 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/scrolls/artwork                                                                               |          1 |        106 |          1 |          1 |        108 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/scrolls/static                                                                                |          2 |         19 |          0 |          2 |         21 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/sphinxdoc                                                                                     |          1 |          6 |          0 |          1 |          7 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/themes/traditional                                                                                   |          1 |          8 |          0 |          2 |         10 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/transforms                                                                                           |          7 |      1,589 |        182 |        424 |      2,195 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/transforms (Files)                                                                                   |          4 |        987 |        141 |        273 |      1,401 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/transforms/post_transforms                                                                           |          3 |        602 |         41 |        151 |        794 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/util                                                                                                 |         38 |      6,087 |        461 |      1,551 |      8,099 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx/writers                                                                                              |          8 |      5,354 |        392 |      1,276 |      7,022 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme                                                                                            |         13 |      3,142 |         24 |         80 |      3,246 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme (Files)                                                                                    |          8 |        466 |         22 |         79 |        567 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme/static                                                                                     |          5 |      2,676 |          2 |          1 |      2,679 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme/static/css                                                                                 |          3 |      2,674 |          2 |          1 |      2,677 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme/static/css (Files)                                                                         |          2 |          3 |          2 |          0 |          5 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme/static/css/fonts                                                                           |          1 |      2,671 |          0 |          1 |      2,672 |
| .venv-pyplate/lib/python3.12/site-packages/sphinx_rtd_theme/static/js                                                                                  |          2 |          2 |          0 |          0 |          2 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib                                                                                               |         12 |      8,047 |      2,012 |      2,353 |     12,412 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/applehelp                                                                                     |          1 |        220 |          5 |         52 |        277 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/devhelp                                                                                       |          1 |        106 |          7 |         31 |        144 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/htmlhelp                                                                                      |          1 |        272 |         15 |         54 |        341 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/jquery                                                                                        |          4 |      7,024 |      1,943 |      2,096 |     11,063 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/jsmath                                                                                        |          2 |         80 |          4 |         21 |        105 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/qthelp                                                                                        |          1 |        197 |         21 |         49 |        267 |
| .venv-pyplate/lib/python3.12/site-packages/sphinxcontrib/serializinghtml                                                                               |          2 |        148 |         17 |         50 |        215 |
| .venv-pyplate/lib/python3.12/site-packages/test_lunrbug                                                                                                |          3 |         11 |          0 |         10 |         21 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3                                                                                                     |         37 |      8,567 |        803 |      2,048 |     11,418 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3 (Files)                                                                                             |         12 |      4,543 |        430 |      1,067 |      6,040 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3/contrib                                                                                             |          9 |      1,475 |        103 |        316 |      1,894 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3/contrib (Files)                                                                                     |          3 |        599 |         34 |        150 |        783 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3/contrib/emscripten                                                                                  |          6 |        876 |         69 |        166 |      1,111 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3/http2                                                                                               |          3 |        386 |         20 |         93 |        499 |
| .venv-pyplate/lib/python3.12/site-packages/urllib3/util                                                                                                |         13 |      2,163 |        250 |        572 |      2,985 |
| TODO                                                                                                                                                   |          3 |         67 |         60 |         50 |        177 |
| conf                                                                                                                                                   |          1 |        700 |        310 |        146 |      1,156 |
| lib                                                                                                                                                    |         20 |        -17 |        928 |        159 |      1,070 |
| lib/cnapplib                                                                                                                                           |          5 |       -492 |        514 |          3 |         25 |
| lib/cnapplib/dead                                                                                                                                      |          3 |       -512 |        512 |          0 |          0 |
| lib/cninstall                                                                                                                                          |          5 |       -324 |       -302 |       -186 |       -812 |
| lib/cninstall (Files)                                                                                                                                  |          3 |       -280 |       -266 |       -166 |       -712 |
| lib/cninstall/tests                                                                                                                                    |          2 |        -44 |        -36 |        -20 |       -100 |
| lib/cninstalllib                                                                                                                                       |          3 |        518 |        577 |        252 |      1,347 |
| lib/cnlib                                                                                                                                              |          7 |        281 |        139 |         90 |        510 |
| misc                                                                                                                                                   |          6 |        -40 |        -26 |        -20 |        -86 |
| pyplate                                                                                                                                                |          3 |        135 |         34 |         13 |        182 |
| pyplate (Files)                                                                                                                                        |          1 |         80 |          0 |          0 |         80 |
| pyplate/private                                                                                                                                        |          2 |         55 |         34 |         13 |        102 |
| src                                                                                                                                                    |          4 |        -65 |         75 |        103 |        113 |
| src (Files)                                                                                                                                            |          3 |        452 |        302 |        197 |        951 |
| src/support                                                                                                                                            |          1 |       -517 |       -227 |        -94 |       -838 |
| src/support/conf                                                                                                                                       |          1 |       -517 |       -227 |        -94 |       -838 |
| template                                                                                                                                               |         27 |        -37 |        -65 |        -51 |       -153 |
| template/all                                                                                                                                           |         15 |        -27 |        -57 |        -49 |       -133 |
| template/all (Files)                                                                                                                                   |          2 |         23 |          0 |          1 |         24 |
| template/all/conf                                                                                                                                      |          1 |        -11 |          0 |          0 |        -11 |
| template/all/dist                                                                                                                                      |          1 |        -21 |        -27 |        -13 |        -61 |
| template/all/install                                                                                                                                   |          3 |         60 |         83 |         33 |        176 |
| template/all/misc                                                                                                                                      |          3 |        -80 |        -91 |        -64 |       -235 |
| template/all/pyplate                                                                                                                                   |          5 |          2 |        -22 |         -6 |        -26 |
| template/all/pyplate/nope                                                                                                                              |          4 |        -14 |        -56 |        -19 |        -89 |
| template/all/pyplate/private                                                                                                                           |          1 |         16 |         34 |         13 |         63 |
| template/gui                                                                                                                                           |         12 |        -10 |         -8 |         -2 |        -20 |
| template/gui (Files)                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| template/gui/conf                                                                                                                                      |          5 |        496 |        115 |         81 |        692 |
| template/gui/conf/desktop                                                                                                                              |          1 |         10 |          8 |          3 |         21 |
| template/gui/conf/python                                                                                                                               |          2 |        151 |        104 |         76 |        331 |
| template/gui/conf/ui                                                                                                                                   |          2 |        335 |          3 |          2 |        340 |
| template/gui/src                                                                                                                                       |          6 |       -506 |       -123 |        -84 |       -713 |
| template/gui/src (Files)                                                                                                                               |          2 |       -151 |       -104 |        -76 |       -331 |
| template/gui/src/support                                                                                                                               |          4 |       -355 |        -19 |         -8 |       -382 |
| template/gui/src/support/desktop                                                                                                                       |          2 |        -20 |        -16 |         -6 |        -42 |
| template/gui/src/support/ui                                                                                                                            |          2 |       -335 |         -3 |         -2 |       -340 |
| tests                                                                                                                                                  |          2 |        -26 |        -31 |        -20 |        -77 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/details.md                                                             | Markdown         |        597 |          0 |          6 |        603 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/diff-details.md                                                        | Markdown         |        558 |          0 |          6 |        564 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/diff.md                                                                | Markdown         |        136 |          0 |          7 |        143 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/results.json                                                           | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-29_10-54-55/results.md                                                             | Markdown         |        155 |          0 |          7 |        162 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/include/site/python3.12/pygobject/pygobject-3.0/pygobject.h                                 | C++              |       -370 |       -208 |        -63 |       -641 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/Markdown-3.7.dist-info/LICENSE.md                              | Markdown         |         24 |          0 |          7 |         31 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/__editable___cnapplib_0_0_1_finder.py                          | Python           |         59 |         11 |         16 |         86 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/__editable___cninstalllib_0_0_1_finder.py                      | Python           |         59 |         11 |         16 |         86 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/__editable___cnlib_0_0_1_finder.py                             | Python           |         59 |         11 |         16 |         86 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster-1.0.0.dist-info/LICENSE.rst                          | reStructuredText |         27 |          0 |          8 |         35 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/__init__.py                                          | Python           |         28 |          3 |          9 |         40 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/about.html                                           | HTML             |         55 |          0 |          5 |         60 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/donate.html                                          | HTML             |         24 |          0 |          5 |         29 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/layout.html                                          | HTML             |        114 |          0 |         17 |        131 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/navigation.html                                      | HTML             |         10 |          0 |          1 |         11 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/relations.html                                       | HTML             |         21 |          0 |          1 |         22 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/static/custom.css                                    | CSS              |          0 |          1 |          1 |          2 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/static/github-banner.svg                             | XML              |          5 |          0 |          1 |          6 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/support.py                                           | Python           |         80 |          6 |          4 |         90 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/alabaster/theme.conf                                           | Properties       |        118 |         10 |          5 |        133 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/__init__.py                                              | Python           |         30 |          0 |          8 |         38 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/core.py                                                  | Python           |      1,010 |         26 |        265 |      1,301 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/dates.py                                                 | Python           |      1,498 |         77 |        351 |      1,926 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/languages.py                                             | Python           |         53 |          0 |         20 |         73 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/lists.py                                                 | Python           |         92 |          7 |         25 |        124 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localedata.py                                            | Python           |        218 |          4 |         57 |        279 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localtime/__init__.py                                    | Python           |         31 |          2 |         11 |         44 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localtime/_fallback.py                                   | Python           |         33 |          0 |         12 |         45 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localtime/_helpers.py                                    | Python           |         41 |          7 |         10 |         58 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localtime/_unix.py                                       | Python           |         65 |         16 |         18 |         99 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/localtime/_win32.py                                      | Python           |         57 |         20 |         22 |         99 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/__init__.py                                     | Python           |         17 |          0 |          5 |         22 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/_compat.py                                      | Python           |         27 |          3 |          5 |         35 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/catalog.py                                      | Python           |        775 |         37 |        141 |        953 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/checkers.py                                     | Python           |        125 |          9 |         35 |        169 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/extract.py                                      | Python           |        688 |         42 |        114 |        844 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/frontend.py                                     | Python           |        984 |         37 |        183 |      1,204 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/jslexer.py                                      | Python           |        160 |         14 |         30 |        204 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/mofile.py                                       | Python           |        169 |         13 |         31 |        213 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/plurals.py                                      | Python           |        127 |        108 |         23 |        258 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/pofile.py                                       | Python           |        554 |         19 |        103 |        676 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/messages/setuptools_frontend.py                          | Python           |         76 |          1 |         32 |        109 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/numbers.py                                               | Python           |      1,242 |         78 |        254 |      1,574 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/plural.py                                                | Python           |        505 |         19 |        117 |        641 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/support.py                                               | Python           |        595 |         13 |        119 |        727 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/units.py                                                 | Python           |        256 |         15 |         73 |        344 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/babel/util.py                                                  | Python           |        195 |         14 |         61 |        270 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/__init__.py                                              | Python           |        -14 |         -3 |         -9 |        -26 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/__init__.pyi                                             | Python           |     -4,614 |         -6 |     -1,270 |     -5,890 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/include/py3cairo.h                                       | C++              |       -173 |        -42 |        -52 |       -267 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/certifi/__init__.py                                            | Python           |          3 |          0 |          2 |          5 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/certifi/__main__.py                                            | Python           |          9 |          0 |          4 |         13 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/certifi/core.py                                                | Python           |         56 |         37 |         22 |        115 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/__init__.py                                 | Python           |         37 |          3 |          7 |         47 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/__main__.py                                 | Python           |          3 |          0 |          2 |          5 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/api.py                                      | Python           |        582 |          8 |         79 |        669 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/cd.py                                       | Python           |        303 |          0 |         93 |        396 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/cli/__init__.py                             | Python           |          5 |          0 |          2 |          7 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/cli/__main__.py                             | Python           |        290 |          0 |         31 |        321 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/constant.py                                 | Python           |      1,966 |         10 |         22 |      1,998 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/legacy.py                                   | Python           |         48 |          3 |         15 |         66 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/md.py                                       | Python           |        492 |          7 |        130 |        629 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/models.py                                   | Python           |        290 |         10 |         60 |        360 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/utils.py                                    | Python           |        303 |          3 |        116 |        422 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/charset_normalizer/version.py                                  | Python           |          5 |          0 |          2 |          7 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cnapplib-0.0.1.dist-info/direct_url.json                       | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cninstalllib-0.0.1.dist-info/direct_url.json                   | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cnlib-0.0.1.dist-info/direct_url.json                          | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/docutils/__init__.py                                           | Python           |        193 |         16 |         83 |        292 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/docutils/__main__.py                                           | Python           |         60 |         19 |         18 |         97 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/docutils/core.py                                               | Python           |        625 |         22 |        134 |        781 |
